2024-02-22,17:35:39,Bapbeti8320,You've just paid for a 44.0($) bill.,-44.0($)
2024-02-22,17:35:39,Ngohoang8320,You're just receive 44.0($).,+44.0($)
2024-02-23,10:47:49,Bapne8320,You're just deposit 100.0($).,+100.0($)
2024-02-23,10:48:16,Bapne8320,You've just paid for a 40.0($) bill.,-40.0($)
2024-02-23,10:48:16,Ngohoang8320,You're just receive 40.0($).,+40.0($)
2024-02-23,10:50:33,Bapbeti8320,You're just deposit 500.0($).,+500.0($)
2024-02-23,10:50:39,Bapbeti8320,You've just paid for a 218.0($) bill.,-218.0($)
2024-02-23,10:50:39,Ngohoang8320,You're just receive 218.0($).,+218.0($)
2024-02-23,11:41:50,Bapbeti8320,You've just paid for a 66.0($) bill.,-66.0($)
2024-02-23,11:41:50,Ngohoang8320,You're just receive 66.0($).,+66.0($)
2024-02-23,11:43:27,Bapbeti8320,You've just paid for a 132.0($) bill.,-132.0($)
2024-02-23,11:43:27,Ngohoang8320,You're just receive 132.0($).,+132.0($)
2024-02-23,14:14:47,Bapbeti8320,You're just deposit 200.0($).,+200.0($)
2024-02-23,14:14:55,Bapbeti8320,You've just paid for a 198.0($) bill.,-198.0($)
2024-02-23,14:14:55,Ngohoang8320,You're just receive 198.0($).,+198.0($)
2024-02-25,00:41:33,Bapbeti8320,You're just deposit 100.0($).,+100.0($)
2024-02-25,00:42:32,Bapbeti8320,You've just paid for a 170.0($) bill.,-170.0($)
2024-02-25,00:42:32,Ngohoang8320,You're just receive 170.0($).,+170.0($)
2024-02-25,00:57:23,Bapne8320,You're just deposit 200.0($).,+200.0($)
2024-02-25,00:57:44,Bapne8320,You've just paid for a 90.0($) bill.,-90.0($)
2024-02-25,00:57:44,Ngohoang8320,You're just receive 90.0($).,+90.0($)
2024-02-25,00:58:17,Ngohoang8320,You're just withdraw 500.0($).,-500.0($)
2024-02-25,00:58:37,Ngohoang8320,You're just withdraw 500.0($).,-500.0($)
2024-02-27,11:37:53,Bapne8320,You've just paid for a 100.0($) bill.,-100.0($)
2024-02-27,11:37:53,Ngohoang8320,You're just receive 100.0($).,+100.0($)
2024-02-27,11:38:23,Bapbeti8320,You're just deposit 100.0($).,+100.0($)
2024-02-27,11:38:28,Bapbeti8320,You've just paid for a 50.0($) bill.,-50.0($)
2024-02-27,11:38:28,Ngohoang8320,You're just receive 50.0($).,+50.0($)
2024-02-27,12:02:34,Bapne8320,You're just deposit 100.0($).,+100.0($)
2024-02-27,12:02:37,Bapne8320,You've just paid for a 100.0($) bill.,-100.0($)
2024-02-27,12:02:37,Ngohoang8320,You're just receive 100.0($).,+100.0($)
2024-02-27,12:03:22,Bapbeti8320,You're just deposit 100.0($).,+100.0($)
